[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:26 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
[08-Nov-2019 03:28:27 UTC] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\SCA\adminAgenda.php on line 153
